iteration,elo_type,boosting_rounds,tree_depth,learning_rate,column_sample_proportion,alpha,training_score,validation_score
74,elo_relative_all,100,3,0.1,0.5,1,0.47704226721016996,0.3564120865568178
75,elo_relative_all,100,3,0.1,0.7,1,0.4812940755891427,0.35939180306466756
76,elo_relative_all,100,5,0.1,0.3,1,0.5563393774821241,0.3659734561458805
77,elo_relative_all,100,5,0.1,0.5,1,0.5676867996548116,0.3608111945430966
78,elo_relative_all,100,5,0.1,0.7,1,0.572903658705233,0.37713773516881877
79,elo_relative_all,100,8,0.1,0.3,1,0.64709070538076,0.35306914814918544
80,elo_relative_all,100,8,0.1,0.5,1,0.6805391612200113,0.34238140036897213
81,elo_relative_all,100,8,0.1,0.7,1,0.6882553204506374,0.34797722650409135
82,elo_relative_all,200,3,0.1,0.3,1,0.5135181269812756,0.38041567454704983
83,elo_relative_all,200,3,0.1,0.5,1,0.5168547951536607,0.3775710507180806
84,elo_relative_all,200,3,0.1,0.7,1,0.5210562456784613,0.37196457609563005
85,elo_relative_all,200,5,0.1,0.3,1,0.6140947110647218,0.3778235306082067
86,elo_relative_all,200,5,0.1,0.5,1,0.6266620991600722,0.37550549053912874
87,elo_relative_all,200,5,0.1,0.7,1,0.6333947695135672,0.386383172349982
88,elo_relative_all,200,8,0.1,0.3,1,0.7234018266548818,0.36623297698075985
89,elo_relative_all,200,8,0.1,0.5,1,0.7462828868852569,0.3518163989892582
90,elo_relative_all,200,8,0.1,0.7,1,0.733397665114399,0.3539773976036342
91,elo_relative_all,500,3,0.1,0.3,1,0.5705535989373512,0.3940942902776441
92,elo_relative_all,500,3,0.1,0.5,1,0.5777056504502793,0.39212680671664035
93,elo_relative_all,500,3,0.1,0.7,1,0.582838758912804,0.38523263795869556
94,elo_relative_all,500,5,0.1,0.3,1,0.6592809818328405,0.39069615473509756
95,elo_relative_all,500,5,0.1,0.5,1,0.668373475562592,0.380778171629218
96,elo_relative_all,500,5,0.1,0.7,1,0.6813210818205235,0.39474027419069857
97,elo_relative_all,500,8,0.1,0.3,1,0.7259366285579734,0.36648616588311866
98,elo_relative_all,500,8,0.1,0.5,1,0.7462828868852569,0.3518163989892582
99,elo_relative_all,500,8,0.1,0.7,1,0.733397665114399,0.3539773976036342
100,elo_relative_all,800,3,0.1,0.3,1,0.5963002660004373,0.39561558357111204
101,elo_relative_all,800,3,0.1,0.5,1,0.6003137610408183,0.3962142832778528
102,elo_relative_all,800,3,0.1,0.7,1,0.6005154303207947,0.38763214889130004
103,elo_relative_all,800,5,0.1,0.3,1,0.6592809818328405,0.39069615473509756
104,elo_relative_all,800,5,0.1,0.5,1,0.668373475562592,0.380778171629218
105,elo_relative_all,800,5,0.1,0.7,1,0.6813210818205235,0.39474027419069857
106,elo_relative_all,800,8,0.1,0.3,1,0.7259366285579734,0.36648616588311866
107,elo_relative_all,800,8,0.1,0.5,1,0.7462828868852569,0.3518163989892582
108,elo_relative_all,800,8,0.1,0.7,1,0.733397665114399,0.3539773976036342
109,elo_relative_set,100,3,0.1,0.3,1,0.4629299473172648,0.4211254561775637
110,elo_relative_set,100,3,0.1,0.5,1,0.46545235413747,0.4163393939340251
111,elo_relative_set,100,3,0.1,0.7,1,0.46941353038351197,0.4220464218140867
112,elo_relative_set,100,5,0.1,0.3,1,0.5475303532676256,0.44051793080177837
113,elo_relative_set,100,5,0.1,0.5,1,0.5564285493600497,0.43754722954023606
114,elo_relative_set,100,5,0.1,0.7,1,0.5570467230153,0.4438975361472114
115,elo_relative_set,100,8,0.1,0.3,1,0.651212787178868,0.44195632068951973
116,elo_relative_set,100,8,0.1,0.5,1,0.6868495961199023,0.4377957769908434
117,elo_relative_set,100,8,0.1,0.7,1,0.6896181592893816,0.4331628542871303
118,elo_relative_set,200,3,0.1,0.3,1,0.5059168023392714,0.43661369200927436
119,elo_relative_set,200,3,0.1,0.5,1,0.5062997855407171,0.4293504199327306
120,elo_relative_set,200,3,0.1,0.7,1,0.5082161043942923,0.4351440823535605
121,elo_relative_set,200,5,0.1,0.3,1,0.6040573226775838,0.4546346916555408
122,elo_relative_set,200,5,0.1,0.5,1,0.6146469933304087,0.44630316102370005
123,elo_relative_set,200,5,0.1,0.7,1,0.6224935500592714,0.4523353943507543
124,elo_relative_set,200,8,0.1,0.3,1,0.7379036987126113,0.45233834720984023
125,elo_relative_set,200,8,0.1,0.5,1,0.7672793293054776,0.4418255698896687
126,elo_relative_set,200,8,0.1,0.7,1,0.7774898071634023,0.43264236415536017
127,elo_relative_set,500,3,0.1,0.3,1,0.5633631144136884,0.4451655673299785
128,elo_relative_set,500,3,0.1,0.5,1,0.5707914001615639,0.4399186774017213
129,elo_relative_set,500,3,0.1,0.7,1,0.5754432489794433,0.4476019521216881
130,elo_relative_set,500,5,0.1,0.3,1,0.6989743711875588,0.4572500059773762
131,elo_relative_set,500,5,0.1,0.5,1,0.7178341617490298,0.450679846605591
132,elo_relative_set,500,5,0.1,0.7,1,0.7219580756349833,0.44928330547852424
133,elo_relative_set,500,8,0.1,0.3,1,0.7837791516956906,0.45364019400618905
134,elo_relative_set,500,8,0.1,0.5,1,0.7866509764899814,0.44022331990866914
135,elo_relative_set,500,8,0.1,0.7,1,0.8069173921156225,0.4302789859749774
136,elo_relative_set,800,3,0.1,0.3,1,0.5988617298969117,0.44599911684564086
137,elo_relative_set,800,3,0.1,0.5,1,0.6067329475086299,0.44307714652659447
138,elo_relative_set,800,3,0.1,0.7,1,0.613064689359007,0.44310981659420146
139,elo_relative_set,800,5,0.1,0.3,1,0.7102955710708219,0.45692726195869826
140,elo_relative_set,800,5,0.1,0.5,1,0.7304928277319258,0.44939634727151734
141,elo_relative_set,800,5,0.1,0.7,1,0.7219580756349833,0.44928330547852424
142,elo_relative_set,800,8,0.1,0.3,1,0.7837791516956906,0.45364019400618905
143,elo_relative_set,800,8,0.1,0.5,1,0.7866509764899814,0.44022331990866914
144,elo_relative_set,800,8,0.1,0.7,1,0.8069173921156225,0.4302789859749774
